OBJECTID,Shape_Length,bearing,bearing_corrected,x_coord,y_coord
130,3116.808196,290.3746227,110.3746227,-581170.7676,1634292.457
131,3435.111809,286.2222709,106.2222709,-577274.394,1633147.963
132,6974.195717,108.2739083,108.2739083,-583771.7759,1633251.572
133,8139.043649,289.700974,109.700974,-577314.0498,1633083.029
134,6057.256053,290.4657265,110.4657265,-579575.4573,1633052.421
135,1559.386627,293.7703616,113.7703616,-581537.1459,1634447.483
136,5494.557122,108.4504829,108.4504829,-585014.8948,1632205.839
137,4936.63426,288.2557675,108.2557675,-579715.2804,1632349.366
138,1729.825618,107.3224616,107.3224616,-585660.3077,1632460.068
139,2021.494916,111.3379885,111.3379885,-585774.4359,1622943.558
140,1940.833546,111.7190075,111.7190075,-585953.1439,1623243.91
141,828.0445599,111.0689942,111.0689942,-585137.7593,1623493.578
142,1325.849597,113.374525,113.374525,-585655.8539,1624192.48
143,1921.074804,111.6719098,111.6719098,-585710.7554,1624455.103
144,2260.830034,110.1477825,110.1477825,-585773.665,1624597.452
145,2476.212257,98.57853783,98.57853783,-583545.3183,1624130.298
146,2590.58054,94.24234979,94.24234979,-583595.2092,1623531.217
147,2619.448569,95.39494715,95.39494715,-584087.5662,1622597.848
148,11287.80178,260.3302398,80.33023982,-572244.4662,1604388.536
149,5301.345256,80.7038884,80.7038884,-582125.2231,1603860.887
150,5384.047234,258.2976458,78.29764582,-572311.9153,1604416.205
151,7655.76841,260.1415937,80.14159373,-575152.8738,1604597.842
152,4486.137028,259.7664701,79.76647013,-578392.4377,1604506.639
153,4439.038405,259.1145391,79.1145391,-576815.8821,1605006.117
154,5701.915223,258.658948,78.65894799,-573704.6588,1605973.924
155,5142.271423,258.3830112,78.38301117,-575986.8872,1605340.92
156,4914.074806,260.3139896,80.31398961,-574231.471,1606215.583
157,6266.996728,260.8230021,80.82300211,-573153.2223,1606577.687
158,5083.853227,261.0985831,81.09858315,-573340.3775,1607118.694
159,3427.588366,261.8445867,81.84458668,-573679.5501,1607745.971
160,2127.80207,260.6140756,80.61407564,-575290.7055,1607346.822
161,3888.311873,278.9063578,98.90635783,-593934.7484,1606206.483
162,2790.398134,280.7118616,100.7118616,-593697.9271,1606688.99
163,3331.765477,279.8371627,99.83716268,-593607.995,1606448.764
164,3683.01885,279.8430338,99.84303382,-593793.555,1606353.95
165,2117.565528,281.3153859,101.3153859,-593274.3468,1607038.376
166,2503.968576,279.9191992,99.91919922,-593574.8058,1606849.819
167,1275.212936,98.92360899,98.92360899,-594068.6188,1607827.145
168,1663.78218,101.0930124,101.0930124,-594730.7333,1607195.436
169,2888.428722,105.2096704,105.2096704,-587371.5448,1610380.832
170,2521.996762,103.7594551,103.7594551,-586894.6047,1610825.568
171,2569.397482,106.1573738,106.1573738,-587137.1645,1609596.646
172,2199.241929,107.4236407,107.4236407,-586443.8307,1611129.913
173,1901.172636,299.0373039,119.0373039,-584158.2271,1612185.192
174,1824.628994,298.1559403,118.1559403,-583933.6538,1613378.741
175,1812.247703,120.3024378,120.3024378,-585620.0524,1612917.282
176,1769.440974,118.4711256,118.4711256,-585464.1272,1613706.993
177,1050.586614,301.2673697,121.2673697,-584481.0834,1614601.176
178,967.852387,298.1661382,118.1661382,-583991.767,1616030.904
179,975.3742874,97.55873823,97.55873823,-584115.3166,1615622.483
180,1247.551323,278.7170035,98.71700349,-582613.0647,1616772.437
181,1930.597227,98.75082437,98.75082437,-584001.8737,1617701.806
182,1864.834177,99.05082386,99.05082386,-584141.5254,1617261.551
183,3055.128926,99.26773555,99.26773555,-584082.2131,1619546.827
184,3131.717105,98.7297507,98.7297507,-583938.8784,1619219.91
