OBJECTID,Shape_Length,bearing,bearing_corrected,x_coord,y_coord
158,5083.853227,261.0985831,81.09858315,-160.2867326,74.54144932
159,3427.588366,261.8445867,81.84458668,-160.3088573,74.5375992
160,2127.80207,260.6140756,80.61407564,-160.2738785,74.53805162
161,3888.311873,278.9063578,98.90635783,-159.6466244,74.48779175
162,2790.398134,280.7118616,100.7118616,-159.6769003,74.48618976
163,3331.765477,279.8371627,99.83716268,-159.6684468,74.48764428
164,3683.01885,279.8430338,99.84303382,-159.6561003,74.48732463
165,2117.565528,281.3153859,101.3153859,-159.7046729,74.48560651
166,2503.968576,279.9191992,99.91919922,-159.6869444,74.48565028
167,1275.212936,98.92360899,98.92360899,-159.7412185,74.48169542
168,1663.78218,101.0930124,101.0930124,-159.7189824,74.48552368
169,2888.428722,105.2096704,105.2096704,-160.0047998,74.4832126
170,2521.996762,103.7594551,103.7594551,-160.0195625,74.48041503
171,2569.397482,106.1573738,106.1573738,-159.9981788,74.4900356
172,2199.241929,107.4236407,107.4236407,-160.0320667,74.47873393
173,1901.172636,299.0373039,119.0373039,-160.0564478,74.47105817
174,1824.628994,298.1559403,118.1559403,-160.0779281,74.46178438
175,1812.247703,120.3024378,120.3024378,-160.0695462,74.46536233
176,1769.440974,118.4711256,118.4711256,-160.0832814,74.45918015
177,1050.586614,301.2673697,121.2673697,-160.0858007,74.45091468
178,967.852387,298.1661382,118.1661382,-160.1180777,74.44044364
179,975.3742874,97.55873823,97.55873823,-160.1381149,74.44627277
180,1247.551323,278.7170035,98.71700349,-160.1637503,74.43781651
181,1930.597227,98.75082437,98.75082437,-160.1795495,74.4305062
182,1864.834177,99.05082386,99.05082386,-160.1692978,74.43370122
183,3055.128926,99.26773555,99.26773555,-160.2151885,74.41640792
184,3131.717105,98.7297507,98.7297507,-160.2169586,74.41968755
185,2106.196582,95.77012783,95.77012783,-160.2063522,74.42649875
186,1918.746435,101.0331411,101.0331411,-160.1898269,74.42845424
187,1906.63528,107.077235,107.077235,-160.1464256,74.43871338
188,1712.006998,121.4580932,121.4580932,-160.1117486,74.44582337
189,2817.5417,273.8730461,93.87304615,-160.2431401,74.41184125
190,3316.719985,278.8317037,98.83170372,-160.2311436,74.40507119
191,2253.867445,108.3006861,108.3006861,-160.1791707,74.38276966
192,1820.942861,93.35174295,93.35174295,-160.2448248,74.39248352
193,2163.965728,277.2558121,97.25581207,-160.2422275,74.38268776
194,1991.296822,276.6267649,96.62676494,-160.245689,74.38659284
195,1868.442855,274.6223041,94.62230409,-160.2449895,74.38867144
196,1852.094327,110.7607214,110.7607214,-160.1765895,74.38757251
197,2347.426094,111.4442612,111.4442612,-160.1833237,74.38590181
198,1574.423921,281.1546174,101.1546174,-160.2451354,74.37852301
199,1132.157924,287.5225718,107.5225718,-160.1788131,74.37105933
200,1309.828791,108.9429835,108.9429835,-160.1801275,74.36975779
201,1647.562885,109.6557493,109.6557493,-160.1869221,74.35966328
202,1335.768627,106.0028812,106.0028812,-160.2011325,74.35394126
203,2709.991008,110.7004374,110.7004374,-160.20093,74.36062641
204,2383.119324,99.45462978,99.45462978,-160.2656015,74.37541168
205,1608.964574,98.85338934,98.85338934,-160.2547608,74.37271042
206,1746.009377,289.2768443,109.2768443,-160.292088,74.37394814
207,1537.643699,287.5564741,107.5564741,-160.2954127,74.37690148
208,5754.463185,109.0692411,109.0692411,-160.2561892,74.359361
209,4439.866947,106.8151736,106.8151736,-160.2417398,74.35873646
210,2736.161936,108.7217049,108.7217049,-160.2197266,74.34874621
211,5507.941557,108.1581601,108.1581601,-160.2591775,74.35068286
212,4958.942812,108.1996181,108.1996181,-160.2519668,74.35177148
213,5357.278866,107.9279028,107.9279028,-160.2658784,74.34739235
214,4632.417649,108.0693979,108.0693979,-160.2718312,74.35092041
215,5199.358264,108.2372434,108.2372434,-160.2731078,74.34506733
216,5749.702244,288.5213169,108.5213169,-160.2923296,74.33871997
218,5329.480478,108.8513416,108.8513416,-160.2823452,74.34373935
219,5510.659556,109.7614398,109.7614398,-160.2873135,74.34017617
220,1447.387271,110.1560412,110.1560412,-160.275219,74.30857973
221,1264.32036,108.5392788,108.5392788,-160.2677369,74.3131209
222,1099.025768,109.0350659,109.0350659,-160.2530458,74.31722548
223,1068.241012,107.1055986,107.1055986,-160.2497406,74.31880192
224,1076.485308,108.4565702,108.4565702,-160.2628567,74.314715
225,2509.188609,96.6222588,96.6222588,-160.4089553,74.33075829
226,2758.091379,97.85331273,97.85331273,-160.4098367,74.33403492
227,2654.143028,98.36752563,98.36752563,-160.4099321,74.33971604
228,1281.023288,114.6921995,114.6921995,-160.3535084,74.34134346
229,2199.124055,97.13470336,97.13470336,-160.410051,74.34825658
230,2284.206632,97.97910027,97.97910027,-160.4121598,74.3421957
231,1923.83406,95.2761807,95.2761807,-160.4037209,74.35576726
232,1416.711499,98.36034275,98.36034275,-160.3952763,74.35148059
233,2825.676541,104.0234874,104.0234874,-160.3892597,74.3419715
234,1374.307739,279.0032588,99.00325882,-160.396146,74.37345613
235,1127.090684,277.4071913,97.40719125,-160.3935283,74.37606628
236,795.0392049,106.735759,106.735759,-160.1918484,74.35356443
237,1988.089706,107.3308419,107.3308419,-160.2184081,74.36221615
238,1384.278295,108.4565716,108.4565716,-160.234756,74.35906746
239,1510.152771,95.11252189,95.11252189,-160.2606921,74.37801279
240,1094.41184,277.7692984,97.76929841,-160.3941034,74.35639866
241,844.151066,278.61576,98.61576003,-160.3946397,74.36564715
242,1237.733185,279.4877691,99.48776912,-160.3945789,74.36155349
243,1602.479601,111.1102581,111.1102581,-160.3511714,74.34711189
244,2127.751107,100.0143938,100.0143938,-160.4047377,74.34315211
245,1181.069235,98.00900576,98.00900576,-160.3914247,74.34718949
246,997.5360076,107.9520617,107.9520617,-160.4119314,74.32425736
247,895.9997688,102.5274753,102.5274753,-160.4048284,74.32751032
248,2861.650421,107.2121615,107.2121615,-160.620542,74.25964375
249,1137.928926,106.5319006,106.5319006,-160.6586207,74.25302643
250,1374.860938,106.5130394,106.5130394,-160.6774301,74.25564932
251,1797.662202,78.63492519,78.63492519,-160.1797313,74.49165459
252,1750.778074,78.92534266,78.92534266,-160.1879494,74.49672777
253,1528.71614,75.28405329,75.28405329,-160.1996551,74.51223152
254,1454.509503,87.97693171,87.97693171,-160.1656706,74.48577276
255,1752.124265,71.74661882,71.74661882,-160.2014845,74.52284236
256,3383.49366,76.71101308,76.71101308,-160.3257308,74.6271892
